Period_Name,Period_Code,Month,Beg_Month,End_Month,intMinMonths,Period_Name_Arabic,Beg_Month_Arabic,End_Month_Arabic
"January",1,1,"1","1",1,"ßÇäæä ËÇäí","ßÇäæä ËÇäí","ßÇäæä ËÇäí"
"February",2,1,"2","2",1,"ÔÈÇØ","ÔÈÇØ","ÔÈÇØ"
"March",3,1,"3","3",1,"ÂÐÇÑ","ÂÐÇÑ","ÂÐÇÑ"
"April",4,1,"4","4",1,"äíÓÇä","äíÓÇä","äíÓÇä"
"May",5,1,"5","5",1,"ÂíÇÑ","ÂíÇÑ","ÂíÇÑ"
"June",6,1,"6","6",1,"ÍÒíÑÇä","ÍÒíÑÇä","ÍÒíÑÇä"
"July",7,1,"7","7",1,"ÊãæÒ","ÊãæÒ","ÊãæÒ"
"August",8,1,"8","8",1,"ÂÈ","ÂÈ","ÂÈ"
"September",9,1,"9","9",1,"Ãíáæá","Ãíáæá","Ãíáæá"
"October",10,1,"10","10",1,"ÊÔÑíä Ãæá","ÊÔÑíä Ãæá","ÊÔÑíä Ãæá"
"November",11,1,"11","11",1,"ÊÔÑíä ËÇäí","ÊÔÑíä ËÇäí","ÊÔÑíä ËÇäí"
"December",12,1,"12","12",1,"ßÇäæä Ãæá","ßÇäæä Ãæá","ßÇäæä Ãæá"
"1st Quarter",13,0,"1","3",3,"ÇáÑÈÚ ÇáÃæá","ßÇäæä ËÇäí","ÂÐÇÑ"
"2nd Quarter",14,0,"4","6",3,"ÇáÑÈÚ ÇáËÇäí","äíÓÇä","ÍÒíÑÇä"
"3rd Quarter",15,0,"7","9",3,"ÇáÑÈÚ ÇáËÇáË","ÊãæÒ","Ãíáæá"
"4th Quarter",16,0,"10","12",3,"ÇáÑÈÚ ÇáÑÇÈÚ","ÊÔÑíä Ãæá","ßÇäæä Ãæá"
"1st Half",17,0,"1","6",6,"ÇáäÕÝ ÇáÃæá","ßÇäæä ËÇäí","ÍÒíÑÇä"
"2nd Half",18,0,"7","12",6,"ÇáäÕÝ ÇáËÇäí","ÊãæÒ","ÊãæÒ"
"Annual",19,0,"1","12",12,"ÇáÓäæí","ßÇäæä ËÇäí","ßÇäæä Ãæá"
"User Defined",20,0,"Calculated","Calculated",12,,,
